CODIGO ;NOMBRE O DENOMINACION;CLASIFICACION
1315;CUENTAS POR COBRAR A CASA MATRIZ ;CUENTA
131505;VENTAS ;SUBCUENTA
131510;PAGOS A NOMBRE DE CASA MATRIZ ;SUBCUENTA
131515;VALORES RECIBIDOS POR CASA MATRIZ ;SUBCUENTA
131520;PRESTAMOS ;SUBCUENTA
1320;CUENTAS POR COBRAR A VINCULADOS ECONOMICOS ;CUENTA
132005;FILIALES ;SUBCUENTA
132010;SUBSIDIARIAS ;SUBCUENTA
132015;SUCURSALES ;SUBCUENTA
1325;CUENTA S POR COBRAR A SOCIOS Y ACCIONISTAS ;CUENTA
132505;A SOCIOS ;SUBCUENTA
132510;A ACCIONISTAS ;SUBCUENTA
1328;APORTES POR COBRAR ;CUENTA
132801 a 132898 ;;
1330;ANTICIPOS Y AVANCES ;CUENTA
133005;A PROVEEDORES ;SUBCUENTA
133010;A CONTRATISTAS ;SUBCUENTA
133015;A TRABAJADORES ;SUBCUENTA
133020;A AGENTES ;SUBCUENTA
133025;A CONCESIONARIOS ;SUBCUENTA
133030;DE ADJUDICACIONES ;SUBCUENTA
133095;OTROS ;SUBCUENTA
1332;CUENTAS DE OPERACION CONJUNTA ;CUENTA
133201 a 133298 ;;
1335;DEPOSITOS ;CUENTA
133505;PARA IMPORTACIONES ;SUBCUENTA
133510;PARA SERVICIOS ;SUBCUENTA
133515;PARA CONTRATOS ;SUBCUENTA
133520;PARA RESPONSABILIDADES ;SUBCUENTA
133525;PARA JUICIOS EJECUTIVOS ;SUBCUENTA
133530;PARA ADQUISICION DE ACCIONES, CUOTAS O DERECHOS SOCIALES ;SUBCUENTA
133535;EN GARANTIA ;SUBCUENTA
133595;OTROS ;SUBCUENTA
1340;PROMESAS DE COMPRA VENTA ;CUENTA
134005;DE BIENES RAICES ;SUBCUENTA
134010;DE MAQUINARIA Y EQUIPO ;SUBCUENTA
134015;DE FLOTA Y EQUIPO DE TRANSPORTE ;SUBCUENTA
134020;DE FLOTA Y EQUIPO AEREO ;SUBCUENTA
134025;DE FLOTA Y EQUIPO FERREO ;SUBCUENTA
134030;DE FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO ;SUBCUENTA
134035;DE SEMOVIENTES ;SUBCUENTA
134095;DE OTROS BIENES ;SUBCUENTA
1345;INGRESOS POR COBRAR ;CUENTA
134505;DIVIDENDOS Y/O PARTICIPACIONES ;SUBCUENTA
134510;INTERESES ;SUBCUENTA
134515;COMISIONES ;SUBCUENTA
134520;HONORARIOS ;SUBCUENTA
134525;SERVICIOS ;SUBCUENTA
134530;ARRENDAMIENTOS ;SUBCUENTA
134535;CERT POR COBRAR ;SUBCUENTA
134595;OTROS ;SUBCUENTA
1350;RETENCION SOBRE CONTRATOS ;CUENTA
135005;DE CONSTRUCCION ;SUBCUENTA
135010;DE PRESTACION DE SERVICIOS ;SUBCUENTA
135095;OTROS ;SUBCUENTA
1355;ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR ;CUENTA
135505;ANTICIPO DE IMPUESTOS DE RENTA Y COMPLEMENTARIOS ;SUBCUENTA
135510;ANTICIPO DE IMPUESTOS DE INDUSTRIA Y COMERCIO ;SUBCUENTA
135515;RETENCION EN LA FUENTE ;SUBCUENTA
135520;SOBRANTES EN LIQUIDACION PRIVADA DE IMPUESTOS ;SUBCUENTA
135525;CONTRIBUCIONES ;SUBCUENTA
135530;IMPUESTOS DESCONTABLES ;SUBCUENTA
135595;OTROS ;SUBCUENTA
1360;RECLAMACIONES ;CUENTA
136005;A COMPAÑIAS ASEGURADORAS ;SUBCUENTA
136010;A TRANSPORTADORES ;SUBCUENTA
136015;POR TIQUETES AEREOS ;SUBCUENTA
136095;OTRAS ;SUBCUENTA
1365;CUENTAS POR COBRAR A TRABAJADORES ;CUENTA
136505;VIVIENDA ;SUBCUENTA
136510;VEHICULOS ;SUBCUENTA
136515;EDUCACION ;SUBCUENTA
136520;MEDICOS, ODONTOLOGICOS Y SIMILARES ;SUBCUENTA
136525;CALAMIDAD DOMESTICA ;SUBCUENTA
136530;RESPONSABILIDADES ;SUBCUENTA
136595;OTROS ;SUBCUENTA
1370;PRESTAMOS A PARTICULARES ;CUENTA
137005;CON GARANTIA REAL ;SUBCUENTA
137010;CON GARANTIA PERSONAL ;SUBCUENTA
1380;DEUDORES VARIOS ;CUENTA
138005;DEPOSITARIOS ;SUBCUENTA
138010;COMISIONISTAS DE BOLSAS ;SUBCUENTA
138015;FONDO DE INVERSION ;SUBCUENTA
138020;CUENTAS POR COBRAR DE TERCEROS ;SUBCUENTA
138025;PAGOS POR CUENTA DE TERCEROS ;SUBCUENTA
138030;FONDOS DE INVERSION SOCIAL ;SUBCUENTA
138095;OTROS ;SUBCUENTA
1385;DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA ;CUENTA
138501 a 138598 ;;
1390;DEUDAS DE DIFICIL COBRO ;CUENTA
139001 a 139098 ;;
1399;PROVISIONES ;CUENTA
139905;CLIENTES ;SUBCUENTA
139910;CUENTAS CORRIENTES COMERCIALES ;SUBCUENTA
139915;CUENTAS POR COBRAR A CASA MATRIZ ;SUBCUENTA
139920;CUENTAS POR COBRAR A VINCULADOS ECONOMICOS ;SUBCUENTA
139925;CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS ;SUBCUENTA
139930;ANTICIPOS Y AVANCES ;SUBCUENTA
139932;CUENTAS DE OPERACION CONJUNTA ;SUBCUENTA
139935;DEPOSITOS ;SUBCUENTA
139940;PROMESAS DE COMPRAVENTA ;SUBCUENTA
139945;INGRESOS POR COBRAR ;SUBCUENTA
139950;RETENCION SOBRE CONTRATOS ;SUBCUENTA
139955;RECLAMACIONES ;SUBCUENTA
139960;CUENTAS POR COBRAR A TRABAJADORES ;SUBCUENTA
139965;PRESTAMOS A PARTICULARES ;SUBCUENTA
139975;DEUDORES VARIOS ;SUBCUENTA
139980;DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA ;SUBCUENTA
14;INVENTARIOS ;GRUPO
1405;MATERIAS PRIMAS ;CUENTA
140501 a 140598 ;;
140599;AJUSTES POR INFLACION ;SUBCUENTA
1410;PRODUCTOS EN PROCESO ;CUENTA
141001 a 141098 ;;
141099;AJUSTES POR INFLACION ;SUBCUENTA
1415;OBRAS DE CONSTRUCCION EN CURSO ;CUENTA
141501 a 141598 ;;
141599;AJUSTES POR INFLACION ;SUBCUENTA
1417;OBRAS DE URBANISMO ;CUENTA
141701 a 141798 ;;
141799;AJUSTES POR INFLACION ;SUBCUENTA
1420;CONTRATOS EN EJECUCION ;CUENTA
142001 a 142098 ;;
142099;AJUSTES POR INFLACION ;SUBCUENTA
1425;CULTIVOS EN DESARROLLO ;CUENTA
142501 a 142598 ;;
142599;AJUSTES POR INFLACION ;SUBCUENTA
1430;PRODUCTOS TERMINADOS ;CUENTA
143005;PRODUCTOS MANUFACTURADOS ;SUBCUENTA
143010;PRODUCTOS EXTRAIDOS Y/O PROCESADOS ;SUBCUENTA
143015;PRODUCTOS AGRICOLAS Y FORESTALES ;SUBCUENTA
143020;SUBPRODUCTOS ;SUBCUENTA
143025;PRODUCTOS DE PESCA ;SUBCUENTA
143099;AJUSTES POR INFLACION ;SUBCUENTA
1435;MERCANCIAS NO FABRICADAS POR LA EMPRESA ;CUENTA
143501 a 143598 ;;
143599;AJUSTES POR INFLACION ;SUBCUENTA
1440;BIENES RAICES PARA LA VENTA ;CUENTA
144001 a 144098 ;;
144099;AJUSTES POR INFLACION ;SUBCUENTA
1445;SEMOVIENTES ;CUENTA
144505;ESPECIES MAYORES ;SUBCUENTA
144510;ESPECIES MENORES ;SUBCUENTA
144599;AJUSTES POR INFLACION ;SUBCUENTA
1450;TERRENOS ;CUENTA
145005;POR URBANIZAR ;SUBCUENTA
145010;URBANIZADOS POR CONSTRUIR ;SUBCUENTA
145099;AJUSTES POR INFLACION ;SUBCUENTA
1455;MATERIALES, REPUESTOS Y ACCESORIOS ;CUENTA
145505;COMBUSTIBLES Y LUBRICANTES ;SUBCUENTA
145510;ABONOS Y FERTILIZANTES ;SUBCUENTA
145515;SEMILLAS TERMINADAS ;SUBCUENTA
145520;FUNGICIDAS Y HERBICIDAS ;SUBCUENTA
145525;MATERIALES Y REPUESTOS ;SUBCUENTA
145530;LOZA Y CRISTALERIA ;SUBCUENTA
145535;HERRAMIENTAS ;SUBCUENTA
145540;MEDICINAS ;SUBCUENTA
145545;ELEMENTOS HOSPITALARIOS ;SUBCUENTA
145550;INSTRUMENTAL QUIRURGICO ;SUBCUENTA
145555;DOTACION Y SUMINISTRO A TRABAJADORES ;SUBCUENTA
145560;ELEMENTOS DE ROPERIA Y LENCERIA ;SUBCUENTA
145595;OTROS ;SUBCUENTA
145599;AJUSTES POR INFLACION ;SUBCUENTA
1460;ENVASES Y EMPAQUES ;CUENTA
146001 a 146098 ;;
146099;AJUSTES POR INFLACION ;SUBCUENTA
1465;INVENTARIOS EN TRANSITO ;CUENTA
146501 a 146598 ;;
146599;AJUSTES POR INFLACION ;SUBCUENTA
1499;PROVISIONES ;CUENTA
149905;PARA OBSOLESCENCIA ;SUBCUENTA
149910;PARA DIFERENCIA DE INVENTARIO FISICO ;SUBCUENTA
149915;PARA PERDIDAS DE INVENTARIOS ;SUBCUENTA
149920;LIFO ;SUBCUENTA
15;PROPIEDADES PLANTA Y EQUIPO ;GRUPO
1504;TERRENOS ;CUENTA
150405;URBANOS ;SUBCUENTA
150410;RURALES ;SUBCUENTA
150499;AJUSTES POR INFLACION ;SUBCUENTA
1506;MATERIALES PROYECTOS PETROLEROS ;CUENTA
150605;TUBERIAS Y EQUIPO ;SUBCUENTA
150610;COSTOS DE IMPORTACION MATERIALES ;SUBCUENTA
150615;PROYECTOS DE CONSTRUCCION ;SUBCUENTA
150699;AJUSTES POR INFLACION ;SUBCUENTA
1508;CONSTRUCCIONES EN CURSO ;CUENTA
150805;CONSTRUCCIONES Y EDIFICACIONES ;SUBCUENTA
150810;ACUEDUCTOS PLANTAS Y REDES ;SUBCUENTA
150815;VIAS DE COMUNICACION ;SUBCUENTA
150820;POZOS ARTESIANOS ;SUBCUENTA
150825;PROYECTOS DE EXPLORACION ;SUBCUENTA
150830;PROYECTOS DE DESARROLLO ;SUBCUENTA
150899;AJUSTES POR INFLACION ;SUBCUENTA
1512;MAQUINARIA Y EQUIPOS EN MONTAJE ;CUENTA
151205;MAQUINARIA Y EQUIPO ;SUBCUENTA
151210;EQUIPO DE OFICINA ;SUBCUENTA
151215;EQUIPO DE COMPUTACION Y COMUNICACION ;SUBCUENTA
151220;EQUIPO MEDICO-CIENTIFICO ;SUBCUENTA
151225;EQUIPO DE HOTELES Y RESTAURANTES ;SUBCUENTA
151230;FLOTA Y EQUIPO DE TRANSPORTE ;SUBCUENTA
151235;FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO ;SUBCUENTA
151240;FLOTA Y EQUIPO AEREO ;SUBCUENTA
151245;FLOTA Y EQUIPO FERREO ;SUBCUENTA
151250;PLANTAS Y REDES ;SUBCUENTA
151299;AJUSTES POR INFLACION ;SUBCUENTA
1516;CONSTRUCCIONES Y EDIFICACIONES ;CUENTA
151605;EDIFICIOS ;SUBCUENTA
151610;OFICINAS ;SUBCUENTA
151615;ALMACENES ;SUBCUENTA
151620;FABRICAS Y PLANTAS INDUSTRIALES ;SUBCUENTA
151625;SALAS DE EXHIBICION Y VENTAS ;SUBCUENTA
151630;CAFETERIA Y CASINOS ;SUBCUENTA
151635;SILOS ;SUBCUENTA
151640;INVERNADEROS ;SUBCUENTA
151645;CASETAS Y CAMPAMENTOS ;SUBCUENTA
151650;INSTALACIONES AGROPECUARIAS ;SUBCUENTA
151655;VIVIENDAS PARA EMPLEADOS Y OBREROS ;SUBCUENTA
151660;TERMINAL DE BUSES Y TAXIS ;SUBCUENTA
151663;TERMINAL MARITIMO ;SUBCUENTA
151665;TERMINAL FERREO ;SUBCUENTA
151670;PARQUEADEROS, GARAJES Y DEPOSITOS ;SUBCUENTA
151675;HANGARES ;SUBCUENTA
151680;BODEGAS ;SUBCUENTA
151695;OTROS ;SUBCUENTA
151699;AJUSTES POR INFLACION ;SUBCUENTA
1520;MAQUINARIA Y EQUIPO ;CUENTA
152001 a 152098 ;;
152099;AJUSTES POR INFLACION ;SUBCUENTA
1524;EQUIPO DE OFICINA ;CUENTA
152405;MUEBLES Y ENSERES ;SUBCUENTA
152410;EQUIPOS ;SUBCUENTA
152495;OTROS ;SUBCUENTA
152499;AJUSTES POR INFLACION ;SUBCUENTA
1528;EQUIPO DE COMPUTACION Y COMUNICACION ;CUENTA
152805;EQUIPOS DE PROCESAMIENTO DE DATOS ;SUBCUENTA
152810;EQUIPOS DE TELECOMUNICACIONES ;SUBCUENTA
152815;EQUIPOS DE RADIO ;SUBCUENTA
152820;SATELITES Y ANTENAS ;SUBCUENTA
152825;LINEAS TELEFONICAS ;SUBCUENTA
152895;OTROS ;SUBCUENTA
152899;AJUSTES POR INFLACION ;SUBCUENTA
1532;EQUIPO MEDICO - CIENTIFICO ;CUENTA
153205;MEDICO ;SUBCUENTA
153210;ODONTOLOGICO ;SUBCUENTA
153215;LABORATORIO ;SUBCUENTA
153220;INSTRUMENTAL ;SUBCUENTA
153295;OTROS ;SUBCUENTA
153299;AJUSTES POR INFLACION ;SUBCUENTA
1536;EQUIPO DE HOTELES Y RESTAURANTES ;CUENTA
153605;DE HABITACIONES ;SUBCUENTA
153610;DE COMESTIBLES Y BEBIDAS ;SUBCUENTA
153695;OTROS ;SUBCUENTA
153699;AJUSTES POR INFLACION ;SUBCUENTA
1540;FLOTA Y EQUIPO DE TRANSPORTE ;CUENTA
154005;AUTOS, CAMIONETAS Y CAMPEROS ;SUBCUENTA
154008;CAMIONES, VOLQUETAS Y FURGONES ;SUBCUENTA
154010;TRACTOMULAS Y REMOLQUES ;SUBCUENTA
154015;BUSES Y BUSETAS ;SUBCUENTA
154017;RECOLECTORES Y CONTENEDORES ;SUBCUENTA
154020;MONTACARGAS ;SUBCUENTA
154025;PALAS Y GRUAS ;SUBCUENTA
154030;MOTOCICLETAS ;SUBCUENTA
154035;BICICLETAS ;SUBCUENTA
154040;ESTIBAS Y CARRETAS ;SUBCUENTA
154045;BANDAS TRANSPORTADORAS ;SUBCUENTA
154095;OTROS ;SUBCUENTA
154099;AJUSTES POR INFLACION ;SUBCUENTA
1544;FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO ;CUENTA
154405;BUQUES ;SUBCUENTA
154410;LANCHAS ;SUBCUENTA
154415;REMOLCADORAS ;SUBCUENTA
154420;BOTES ;SUBCUENTA
154425;BOYAS ;SUBCUENTA
154430;AMARRES ;SUBCUENTA
154435;CONTENEDORES Y CHASSISES ;SUBCUENTA
154440;GABARRAS ;SUBCUENTA
154495;OTROS ;SUBCUENTA
154499;AJUSTES POR INFLACION ;SUBCUENTA
1548;FLOTA Y EQUIPO AEREO ;CUENTA
154805;AVIONES ;SUBCUENTA
154810;AVIONETAS ;SUBCUENTA
154815;HELICOPTEROS ;SUBCUENTA
154820;TURBINAS Y MOTORES ;SUBCUENTA
154825;MANUALES DE ENTRENAMIENTO PERSONAL TECNICO ;SUBCUENTA
154830;EQUIPOS DE VUELO ;SUBCUENTA
154895;OTROS ;SUBCUENTA
154899;AJUSTES POR INFLACION ;SUBCUENTA
1552;FLOTA Y EQUIPO FERREO ;CUENTA
155205;LOCOMOTORAS ;SUBCUENTA
155210;VAGONES ;SUBCUENTA
155215;REDES FERREAS ;SUBCUENTA
155295;OTROS ;SUBCUENTA
155299;AJUSTES POR INFLACION ;SUBCUENTA
1556;ACUEDUCTOS PLANTAS Y REDES ;CUENTA
155605;INSTALACIONES PARA AGUA Y ENERGIA ;SUBCUENTA
155610;ACUEDUCTO ACEQUIAS Y CANALIZACIONES ;SUBCUENTA
155615;PLANTAS DE GENERACION HIDRAULICA ;SUBCUENTA
155620;PLANTAS DE GENERACION TERMICA ;SUBCUENTA
155625;PLANTAS DE GENERACION A GAS ;SUBCUENTA
155628;PLANTAS DE GENERACION DIESEL, GASOLINA Y PETROLEO ;SUBCUENTA
155630;PLANTAS DE DISTRIBUCION ;SUBCUENTA
155635;PLANTAS DE TRANSMISION Y SUBESTACIONES ;SUBCUENTA
155640;OLEODUCTOS ;SUBCUENTA
155645;GASODUCTOS ;SUBCUENTA
155647;POLIDUCTOS ;SUBCUENTA
155650;REDES DE DISTRIBUCION ;SUBCUENTA
155655;PLANTAS DE TRATAMIENTO ;SUBCUENTA
155660;REDES DE RECOLECCION DE AGUAS NEGRAS ;SUBCUENTA
155665;INSTALACIONES Y EQUIPO DE BOMBEO ;SUBCUENTA
155670;REDES DE DISTRIBUCION DE VAPOR ;SUBCUENTA
155675;REDES DE AIRE ;SUBCUENTA
155680;REDES ALIMENTACION DE GAS ;SUBCUENTA
155682;REDES EXTERNAS DE TELEFONIA ;SUBCUENTA
155685;PLANTAS DESHIDRATADORAS ;SUBCUENTA
155695;OTROS ;SUBCUENTA
155699;AJUSTES POR INFLACION ;SUBCUENTA
1560;ARMAMENTO DE VIGILANCIA ;CUENTA
156001 a 156098 ;;
156099;AJUSTES POR INFLACION ;SUBCUENTA
1562;ENVASES Y EMPAQUES ;CUENTA
156201 a 156298 ;;
156299;AJUSTES POR INFLACION ;SUBCUENTA
1564;PLANTACIONES AGRICOLAS Y FORESTALES ;CUENTA
156405;CULTIVOS EN DESARROLLO ;SUBCUENTA
156410;CULTIVOS AMORTIZABLES ;SUBCUENTA
156499;AJUSTES POR INFLACION ;SUBCUENTA
1568;VIAS DE COMUNICACION ;CUENTA
156805;PAVIMENTACION Y PATIOS ;SUBCUENTA
156810;VIAS ;SUBCUENTA
156815;PUENTES ;SUBCUENTA
156820;CALLES ;SUBCUENTA
156825;AERODROMOS ;SUBCUENTA
156895;OTROS ;SUBCUENTA
156899;AJUSTES POR INFLACION ;SUBCUENTA
1572;MINAS Y CANTERAS ;CUENTA
157205;MINAS ;SUBCUENTA
157210;CANTERAS ;SUBCUENTA
157299;AJUSTES POR INFLACION ;SUBCUENTA
